src,dst,proto,length
192.168.180.128,8.8.8.8,0,98
8.8.8.8,192.168.180.128,0,98
192.168.180.128,8.8.8.8,0,98
8.8.8.8,192.168.180.128,0,98
192.168.180.128,8.8.8.8,0,98
8.8.8.8,192.168.180.128,0,98
192.168.180.128,8.8.8.8,0,98
8.8.8.8,192.168.180.128,0,98
192.168.180.128,8.8.8.8,0,98
8.8.8.8,192.168.180.128,0,98
192.168.180.128,8.8.8.8,0,98
8.8.8.8,192.168.180.128,0,98
192.168.180.128,8.8.8.8,0,98
8.8.8.8,192.168.180.128,0,98
192.168.180.128,8.8.8.8,0,98
8.8.8.8,192.168.180.128,0,98
192.168.180.128,162.159.200.1,17,90
162.159.200.1,192.168.180.128,17,90
